,FPR,TPR
410,0.04373610081541883,0.9423126448622199
411,0.0452186805040771,0.9423126448622199
412,0.0452186805040771,0.9430852433685295
413,0.04595997034840623,0.9430852433685295
414,0.04595997034840623,0.943342776203966
415,0.04670126019273536,0.943342776203966
416,0.04670126019273536,0.9443729075457121
417,0.04744255003706449,0.9443729075457121
418,0.04744255003706449,0.9446304403811486
419,0.04892512972572276,0.9446304403811486
420,0.04892512972572276,0.9448879732165851
421,0.04966641957005189,0.9448879732165851
422,0.04966641957005189,0.9459181045583311
423,0.050407709414381024,0.9459181045583311
424,0.050407709414381024,0.9500386299253155
425,0.05114899925871016,0.9500386299253155
426,0.05114899925871016,0.9518413597733711
427,0.05263157894736842,0.9518413597733711
428,0.05263157894736842,0.9520988926088076
429,0.05337286879169755,0.9520988926088076
430,0.05337286879169755,0.9526139582796807
431,0.05485544848035582,0.9526139582796807
432,0.05485544848035582,0.9531290239505537
433,0.056338028169014086,0.9531290239505537
434,0.056338028169014086,0.9536440896214268
435,0.060044477390659746,0.9536440896214268
436,0.060044477390659746,0.9539016224568633
437,0.06078576723498888,0.9539016224568633
438,0.06078576723498888,0.9549317537986093
439,0.061527057079318014,0.9549317537986093
440,0.061527057079318014,0.9554468194694824
441,0.06226834692364715,0.9554468194694824
442,0.06226834692364715,0.9562194179757919
443,0.06300963676797627,0.9562194179757919
444,0.06300963676797627,0.9564769508112284
445,0.06523350630096368,0.9564769508112284
446,0.06523350630096368,0.9567344836466649
447,0.06671608598962195,0.9567344836466649
448,0.06671608598962195,0.957249549317538
449,0.06745737583395107,0.957249549317538
450,0.06745737583395107,0.9585372134947205
451,0.06893995552260934,0.9585372134947205
452,0.06893995552260934,0.9600824105073397
453,0.06968124536693847,0.9600824105073397
454,0.06968124536693847,0.9603399433427762
455,0.07116382505559674,0.9603399433427762
456,0.07116382505559674,0.9611125418490858
457,0.072646404744255,0.9611125418490858
458,0.072646404744255,0.9613700746845223
459,0.07338769458858414,0.9613700746845223
460,0.07338769458858414,0.9616276075199588
461,0.07412898443291327,0.9616276075199588
462,0.07412898443291327,0.9629152716971414
463,0.0748702742772424,0.9629152716971414
464,0.0748702742772424,0.9631728045325779
465,0.07561156412157154,0.9631728045325779
466,0.07561156412157154,0.9642029358743239
467,0.07635285396590066,0.9642029358743239
468,0.07635285396590066,0.9670357970641257
469,0.0770941438102298,0.9670357970641257
